name,price,pic,description
Flower,28 €,pic1.jpg,"Pendientes latón, bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 10 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona"
XL Hoops,25 €,pic2.JPG,"Pendientes latón bañados en una micra de oro.Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su diámetro exterior 6,5 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Indiavar,26 €,pic3.JPG,"Pendientes latón, bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 13,5 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Crit,26 €,pic4.JPG,"Pendientes latón, bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 12 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Niddo,26 €,pic5.JPG,"Pendientes latón, bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 9,5 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Leyla,26 €,pic6.JPG,"Pendientes latón, bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 6 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Jipur,22 €,pic7.JPG,"Pendientes hechos de piedras naturales turmalina. Hay 4 colores disponibles: rosa, azul, verde y amarillo. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 10 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Samaya,26 €,pic8.jpg,"Pendientes de nácar y latón bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 6 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Pedrosa,26 €,pic9.JPG,"Pendientes de  latón bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 7 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
Bubble,28 €,pic10.jpg,"Pendientes de  latón bañados en una micra de oro. Base del pendiente de plata de ley bañada en oro, para así evitar posibles alergias. Su longitud es de 10 cm. Recomendamos no ducharse ni bañarse con las joyas y evitar contacto con agua, perfumes y otros cosméticos. Hechos a mano en Barcelona."
